char	index	unicode	strokes	sequence
反	0139	U+53CD	4	3;3;5;4
兮	3518	U+516E	4	3;4;1;5
刈	3519	U+5208	4	3;4;2;2
介	0140	U+4ECB	4	3;4;3;2
父	0141	U+7236	4	3;4;3;4
从	0142	U+4ECE	4	3;4;3;4
爻	3520	U+723B	4	3;4;3;4
仑	0143	U+4ED1	4	3;4;3;5
今	0144	U+4ECA	4	3;4;4;5
凶	0145	U+51F6	4	3;4;5;2
分	0146	U+5206	4	3;4;5;3
乏	0147	U+4E4F	4	3;4;5;4
公	0148	U+516C	4	3;4;5;4
仓	0149	U+4ED3	4	3;4;5;5
月	0150	U+6708	4	3;5;1;1
氏	0151	U+6C0F	4	3;5;1;5
勿	0152	U+52FF	4	3;5;3;3
欠	0153	U+6B20	4	3;5;3;4
风	0154	U+98CE	4	3;5;3;4
丹	0155	U+4E39	4	3;5;4;1
匀	0156	U+5300	4	3;5;4;1
乌	0157	U+4E4C	4	3;5;5;1
卬	6504	U+536C	4	3;5;5;2
殳	6505	U+6BB3	4	3;5;5;4
勾	0158	U+52FE	4	3;5;5;4
凤	0159	U+51E4	4	3;5;5;4
卞	3521	U+535E	4	4;1;2;4
六	0160	U+516D	4	4;1;3;4
文	0161	U+6587	4	4;1;3;4
亢	0162	U+4EA2	4	4;1;3;5
方	0163	U+65B9	4	4;1;5;3
闩	3522	U+95E9	4	4;2;5;1
火	0164	U+706B	4	4;3;3;4
为	0165	U+4E3A	4	4;3;5;4
斗	0166	U+6597	4	4;4;1;2
忆	0167	U+5FC6	4	4;4;2;5
计	0168	U+8BA1	4	4;5;1;2
订	0169	U+8BA2	4	4;5;1;2
户	0170	U+6237	4	4;5;1;3
讣	3523	U+8BA3	4	4;5;2;4
认	0171	U+8BA4	4	4;5;3;4
冗	0172	U+5197	4	4;5;3;5
讥	0173	U+8BA5	4	4;5;3;5
心	0174	U+5FC3	4	4;5;4;4
尹	3524	U+5C39	4	5;1;1;3
尺	0175	U+5C3A	4	5;1;3;4
夬	3525	U+592C	4	5;1;3;4
引	0176	U+5F15	4	5;1;5;2
丑	0177	U+4E11	4	5;2;1;1
爿	3526	U+723F	4	5;2;1;3
巴	0178	U+5DF4	4	5;2;1;5
孔	0179	U+5B54	4	5;2;1;5
队	0180	U+961F	4	5;2;3;4
𠙶	6506	U+20676	4	5;2;5;2
办	0181	U+529E	4	5;3;4;4
以	0182	U+4EE5	4	5;4;3;4
允	0183	U+5141	4	5;4;3;5
予	0184	U+4E88	4	5;4;5;2
邓	0185	U+9093	4	5;4;5;2
劝	0186	U+529D	4	5;4;5;3
双	0187	U+53CC	4	5;4;5;4
