char	index	unicode	strokes	sequence
茓	3869	U+8313	8	1;2;2;4;4;5;3;4
茔	3870	U+8314	8	1;2;2;4;5;1;2;1
苾	6661	U+82FE	8	1;2;2;4;5;4;3;4
茕	3871	U+8315	8	1;2;2;4;5;5;1;2
直	1011	U+76F4	8	1;2;2;5;1;1;1;1
苠	6662	U+82E0	8	1;2;2;5;1;5;1;5
茀	3872	U+8300	8	1;2;2;5;1;5;3;2
茁	1012	U+8301	8	1;2;2;5;2;2;5;2
苕	3873	U+82D5	8	1;2;2;5;3;2;5;1
茄	1013	U+8304	8	1;2;2;5;3;2;5;1
茎	1014	U+830E	8	1;2;2;5;4;1;2;1
苔	1015	U+82D4	8	1;2;2;5;4;2;5;1
茅	1016	U+8305	8	1;2;2;5;4;5;2;3
枉	1017	U+6789	8	1;2;3;4;1;1;2;1
枅	6663	U+6785	8	1;2;3;4;1;1;3;2
林	1018	U+6797	8	1;2;3;4;1;2;3;4
枝	1019	U+679D	8	1;2;3;4;1;2;5;4
杯	1020	U+676F	8	1;2;3;4;1;3;2;4
枢	1021	U+67A2	8	1;2;3;4;1;3;4;5
枥	3874	U+67A5	8	1;2;3;4;1;3;5;3
柜	1022	U+67DC	8	1;2;3;4;1;5;1;5
枇	3875	U+6787	8	1;2;3;4;1;5;3;5
杪	3876	U+676A	8	1;2;3;4;2;3;4;3
杳	3877	U+6773	8	1;2;3;4;2;5;1;1
㭎	6664	U+3B4E	8	1;2;3;4;2;5;3;4
枘	6665	U+6798	8	1;2;3;4;2;5;3;4
枧	3878	U+67A7	8	1;2;3;4;2;5;3;5
杵	3879	U+6775	8	1;2;3;4;3;1;1;2
枚	1023	U+679A	8	1;2;3;4;3;1;3;4
枨	3880	U+67A8	8	1;2;3;4;3;1;5;4
析	1024	U+6790	8	1;2;3;4;3;3;1;2
板	1025	U+677F	8	1;2;3;4;3;3;5;4
枍	6666	U+678D	8	1;2;3;4;3;4;1;5
枞	3881	U+679E	8	1;2;3;4;3;4;3;4
松	1026	U+677E	8	1;2;3;4;3;4;5;4
枪	1027	U+67AA	8	1;2;3;4;3;4;5;5
枫	1028	U+67AB	8	1;2;3;4;3;5;3;4
构	1029	U+6784	8	1;2;3;4;3;5;5;4
杭	1030	U+676D	8	1;2;3;4;4;1;3;5
枋	3882	U+678B	8	1;2;3;4;4;1;5;3
杰	1031	U+6770	8	1;2;3;4;4;4;4;4
述	1032	U+8FF0	8	1;2;3;4;4;4;5;4
枕	1033	U+6795	8	1;2;3;4;4;5;3;5
杻	3883	U+677B	8	1;2;3;4;5;2;1;1
杷	3884	U+6777	8	1;2;3;4;5;2;1;5
杼	3885	U+677C	8	1;2;3;4;5;4;5;2
丧	1034	U+4E27	8	1;2;4;3;1;5;3;4
或	1035	U+6216	8	1;2;5;1;1;5;3;4
画	1036	U+753B	8	1;2;5;1;2;1;5;2
卧	1037	U+5367	8	1;2;5;1;2;5;2;4
事	1038	U+4E8B	8	1;2;5;1;5;1;1;2
刺	1039	U+523A	8	1;2;5;2;3;4;2;2
枣	1040	U+67A3	8	1;2;5;2;3;4;4;4
雨	1041	U+96E8	8	1;2;5;2;4;4;4;4
卖	1042	U+5356	8	1;2;5;4;4;1;3;4
矸	3886	U+77F8	8	1;3;2;5;1;1;1;2
矼	6667	U+77FC	8	1;3;2;5;1;1;2;1
郁	1043	U+90C1	8	1;3;2;5;1;1;5;2
矻	6668	U+77FB	8	1;3;2;5;1;3;1;5
矾	1044	U+77FE	8	1;3;2;5;1;3;5;4
矿	1045	U+77FF	8	1;3;2;5;1;4;1;3
砀	3887	U+7800	8	1;3;2;5;1;5;3;3
码	1046	U+7801	8	1;3;2;5;1;5;5;1
厕	1047	U+5395	8	1;3;2;5;3;4;2;2
奈	1048	U+5948	8	1;3;4;1;1;2;3;4
刳	3888	U+5233	8	1;3;4;1;1;5;2;2
奔	1049	U+5954	8	1;3;4;1;2;1;3;2
奇	1050	U+5947	8	1;3;4;1;2;5;1;2
匼	6669	U+533C	8	1;3;4;1;2;5;1;5
奄	3889	U+5944	8	1;3;4;2;5;1;1;5
奋	1051	U+594B	8	1;3;4;2;5;1;2;1
态	1052	U+6001	8	1;3;4;4;4;5;4;4
瓯	3890	U+74EF	8	1;3;4;5;1;5;5;4
欧	1053	U+6B27	8	1;3;4;5;3;5;3;4
殴	1054	U+6BB4	8	1;3;4;5;3;5;5;4
垄	1055	U+5784	8	1;3;5;3;4;1;2;1
殁	3891	U+6B81	8	1;3;5;4;3;5;5;4
郏	3892	U+90CF	8	1;4;3;1;3;4;5;2
妻	1056	U+59BB	8	1;5;1;1;2;5;3;1
轰	1057	U+8F70	8	1;5;1;2;5;4;5;4
顷	1058	U+9877	8	1;5;1;3;2;5;3;4
转	1059	U+8F6C	8	1;5;2;1;1;1;5;4
轭	3893	U+8F6D	8	1;5;2;1;1;3;5;5
斩	1060	U+65A9	8	1;5;2;1;3;3;1;2
轮	1061	U+8F6E	8	1;5;2;1;3;4;3;5
𬨂	6670	U+2CA02	8	1;5;2;1;3;5;1;5
软	1062	U+8F6F	8	1;5;2;1;3;5;3;4
到	1063	U+5230	8	1;5;4;1;2;1;2;2
郅	3894	U+90C5	8	1;5;4;1;2;1;5;2
鸢	3895	U+9E22	8	1;5;4;3;5;4;5;1
非	1064	U+975E	8	2;1;1;1;2;1;1;1
叔	1065	U+53D4	8	2;1;1;2;3;4;5;4
歧	1066	U+6B67	8	2;1;2;1;1;2;5;4
肯	1067	U+80AF	8	2;1;2;1;2;5;1;1
齿	1068	U+9F7F	8	2;1;2;1;3;4;5;2
些	1069	U+4E9B	8	2;1;2;1;3;5;1;1
卓	1070	U+5353	8	2;1;2;5;1;1;1;2
虎	1071	U+864E	8	2;1;5;3;1;5;3;5
虏	1072	U+864F	8	2;1;5;3;1;5;5;3
肾	1073	U+80BE	8	2;2;5;4;2;5;1;1
贤	1074	U+8D24	8	2;2;5;4;2;5;3;4
尚	1075	U+5C1A	8	2;4;3;2;5;2;5;1
盱	3896	U+76F1	8	2;5;1;1;1;1;1;2
旺	1076	U+65FA	8	2;5;1;1;1;1;2;1
具	1077	U+5177	8	2;5;1;1;1;1;3;4
昊	3897	U+660A	8	2;5;1;1;1;1;3;4
𬀩	6671	U+2C029	8	2;5;1;1;1;1;5;2
昙	3898	U+6619	8	2;5;1;1;1;1;5;4
味	1078	U+5473	8	2;5;1;1;1;2;3;4
杲	3899	U+6772	8	2;5;1;1;1;2;3;4
果	1079	U+679C	8	2;5;1;1;1;2;3;4
昃	3900	U+6603	8	2;5;1;1;1;3;3;4
昆	1080	U+6606	8	2;5;1;1;1;5;3;5
国	1081	U+56FD	8	2;5;1;1;2;1;4;1
哎	1082	U+54CE	8	2;5;1;1;2;2;3;4
咕	1083	U+5495	8	2;5;1;1;2;2;5;1
昌	1084	U+660C	8	2;5;1;1;2;5;1;1
呵	1085	U+5475	8	2;5;1;1;2;5;1;2
咂	3901	U+5482	8	2;5;1;1;2;5;2;5
畅	1086	U+7545	8	2;5;1;1;2;5;3;3
𬀪	6672	U+2C02A	8	2;5;1;1;2;5;3;5
旿	6673	U+65FF	8	2;5;1;1;3;1;1;2
昇	6674	U+6607	8	2;5;1;1;3;1;3;2
呸	3902	U+5478	8	2;5;1;1;3;2;4;1
昕	3903	U+6615	8	2;5;1;1;3;3;1;2
昄	6675	U+6604	8	2;5;1;1;3;3;5;4
明	1087	U+660E	8	2;5;1;1;3;5;1;1
昒	6676	U+6612	8	2;5;1;1;3;5;3;3
易	1088	U+6613	8	2;5;1;1;3;5;3;3
咙	1089	U+5499	8	2;5;1;1;3;5;3;4
昀	3904	U+6600	8	2;5;1;1;3;5;4;1
昂	1090	U+6602	8	2;5;1;1;3;5;5;2
旻	3905	U+65FB	8	2;5;1;1;4;1;3;4
昉	3906	U+6609	8	2;5;1;1;4;1;5;3
炅	3907	U+7085	8	2;5;1;1;4;3;3;4
昈	6677	U+6608	8	2;5;1;1;4;5;1;3
咔	3908	U+5494	8	2;5;1;2;1;1;2;4
畀	3909	U+7540	8	2;5;1;2;1;1;3;2
虮	3910	U+866E	8	2;5;1;2;1;4;3;5
迪	1091	U+8FEA	8	2;5;1;2;1;4;5;4
典	1092	U+5178	8	2;5;1;2;2;1;3;4
固	1093	U+56FA	8	2;5;1;2;2;5;1;1
忠	1094	U+5FE0	8	2;5;1;2;4;5;4;4
咀	3911	U+5480	8	2;5;1;2;5;1;1;1
呷	3912	U+5477	8	2;5;1;2;5;1;1;2
呻	1095	U+547B	8	2;5;1;2;5;1;1;2
黾	3913	U+9EFE	8	2;5;1;2;5;1;1;5
咉	6678	U+5489	8	2;5;1;2;5;1;3;4
咒	1096	U+5492	8	2;5;1;2;5;1;3;5
咋	1097	U+548B	8	2;5;1;3;1;2;1;1
咐	1098	U+5490	8	2;5;1;3;2;1;2;4
呱	3914	U+5471	8	2;5;1;3;3;5;4;4
呼	1099	U+547C	8	2;5;1;3;4;3;1;2
呤	3915	U+5464	8	2;5;1;3;4;4;5;4
咚	3916	U+549A	8	2;5;1;3;5;4;4;4
鸣	1100	U+9E23	8	2;5;1;3;5;4;5;1
咆	3917	U+5486	8	2;5;1;3;5;5;1;5
咛	3918	U+549B	8	2;5;1;4;4;5;1;2
咇	6679	U+5487	8	2;5;1;4;5;4;3;4
咏	1101	U+548F	8	2;5;1;4;5;5;3;4
呢	1102	U+5462	8	2;5;1;5;1;3;3;5
咄	1103	U+5484	8	2;5;1;5;2;2;5;2
呶	3919	U+5476	8	2;5;1;5;3;1;5;4
咖	1104	U+5496	8	2;5;1;5;3;2;5;1
咍	6680	U+548D	8	2;5;1;5;4;2;5;1
呣	3920	U+5463	8	2;5;1;5;5;4;1;4
呦	3921	U+5466	8	2;5;1;5;5;4;5;3
咝	3922	U+549D	8	2;5;1;5;5;5;5;1
岵	6681	U+5CB5	8	2;5;2;1;2;2;5;1
岢	3923	U+5CA2	8	2;5;2;1;2;5;1;2
岸	1105	U+5CB8	8	2;5;2;1;3;1;1;2
岩	1106	U+5CA9	8	2;5;2;1;3;2;5;1
岽	6682	U+5CBD	8	2;5;2;1;5;2;3;4
帖	1107	U+5E16	8	2;5;2;2;1;2;5;1
罗	1108	U+7F57	8	2;5;2;2;1;3;5;4
岿	3924	U+5CBF	8	2;5;2;2;3;5;1;1
岨	6683	U+5CA8	8	2;5;2;2;5;1;1;1
岬	3925	U+5CAC	8	2;5;2;2;5;1;1;2
岫	3926	U+5CAB	8	2;5;2;2;5;1;2;1
帜	1109	U+5E1C	8	2;5;2;2;5;1;3;4
帙	3927	U+5E19	8	2;5;2;3;1;1;3;4
岞	6684	U+5C9E	8	2;5;2;3;1;2;1;1
帕	1110	U+5E15	8	2;5;2;3;2;5;1;1
岭	1111	U+5CAD	8	2;5;2;3;4;4;5;4
岣	3928	U+5CA3	8	2;5;2;3;5;2;5;1
峁	3929	U+5CC1	8	2;5;2;3;5;3;5;2
刿	3930	U+523F	8	2;5;2;3;5;4;2;2
峂	6685	U+5CC2	8	2;5;2;3;5;4;4;4
㟃	6686	U+37C3	8	2;5;2;5;1;2;5;1
迥	3931	U+8FE5	8	2;5;2;5;1;4;5;4
岷	3932	U+5CB7	8	2;5;2;5;1;5;1;5
剀	3933	U+5240	8	2;5;2;5;1;5;2;2
凯	1112	U+51EF	8	2;5;2;5;1;5;3;5
帔	3934	U+5E14	8	2;5;2;5;3;2;5;4
峄	3935	U+5CC4	8	2;5;2;5;4;1;1;2
囷	6687	U+56F7	8	2;5;3;1;2;3;4;1
沓	3936	U+6C93	8	2;5;3;4;2;5;1;1
败	1113	U+8D25	8	2;5;3;4;3;1;3;4
账	1114	U+8D26	8	2;5;3;4;3;1;5;4
贩	1115	U+8D29	8	2;5;3;4;3;3;5;4
贬	1116	U+8D2C	8	2;5;3;4;3;4;5;4
购	1117	U+8D2D	8	2;5;3;4;3;5;5;4
贮	1118	U+8D2E	8	2;5;3;4;4;4;5;1
囹	3937	U+56F9	8	2;5;3;4;4;5;4;1
图	1119	U+56FE	8	2;5;3;5;4;4;4;1
罔	3938	U+7F54	8	2;5;4;3;1;4;1;5
钍	3939	U+948D	8	3;1;1;1;5;1;2;1
𬬩	6688	U+2CB29	8	3;1;1;1;5;1;5;4
钎	3940	U+948E	8	3;1;1;1;5;3;1;2
钏	3941	U+948F	8	3;1;1;1;5;3;2;2
钐	6689	U+9490	8	3;1;1;1;5;3;3;3
钓	1120	U+9493	8	3;1;1;1;5;3;5;4
钒	3942	U+9492	8	3;1;1;1;5;3;5;4
钔	6690	U+9494	8	3;1;1;1;5;4;2;5
钕	3943	U+9495	8	3;1;1;1;5;5;3;1
钖	6691	U+9496	8	3;1;1;1;5;5;3;3
钗	3944	U+9497	8	3;1;1;1;5;5;4;4
邾	3945	U+90BE	8	3;1;1;2;3;4;5;2
制	1121	U+5236	8	3;1;1;2;5;2;2;2
知	1122	U+77E5	8	3;1;1;3;4;2;5;1
迭	1123	U+8FED	8	3;1;1;3;4;4;5;4
氛	1124	U+6C1B	8	3;1;1;5;3;4;5;3
迮	3946	U+8FEE	8	3;1;2;1;1;4;5;4
垂	1125	U+5782	8	3;1;2;1;2;2;1;1
牦	3947	U+7266	8	3;1;2;1;3;1;1;5
牧	1126	U+7267	8	3;1;2;1;3;1;3;4
物	1127	U+7269	8	3;1;2;1;3;5;3;3
牥	6692	U+7265	8	3;1;2;1;4;1;5;3
乖	1128	U+4E56	8	3;1;2;2;1;1;3;5
刮	1129	U+522E	8	3;1;2;2;5;1;2;2
秆	1130	U+79C6	8	3;1;2;3;4;1;1;2
和	1131	U+548C	8	3;1;2;3;4;2;5;1
季	1132	U+5B63	8	3;1;2;3;4;5;2;1
委	1133	U+59D4	8	3;1;2;3;4;5;3;1
竺	3948	U+7AFA	8	3;1;4;3;1;4;1;1
秉	1134	U+79C9	8	3;1;5;1;1;2;3;4
迤	3949	U+8FE4	8	3;1;5;2;5;4;5;4
佳	1135	U+4F73	8	3;2;1;2;1;1;2;1
侍	1136	U+4F8D	8	3;2;1;2;1;1;2;4
佶	3950	U+4F76	8	3;2;1;2;1;2;5;1
岳	1137	U+5CB3	8	3;2;1;2;1;2;5;2
佬	3951	U+4F6C	8	3;2;1;2;1;3;3;5
佴	6693	U+4F74	8	3;2;1;2;2;1;1;1
供	1138	U+4F9B	8	3;2;1;2;2;1;3;4
使	1139	U+4F7F	8	3;2;1;2;5;1;3;4
佰	3952	U+4F70	8	3;2;1;3;2;5;1;1
侑	3953	U+4F91	8	3;2;1;3;2;5;1;1
侉	3954	U+4F89	8	3;2;1;3;4;1;1;5
例	1140	U+4F8B	8	3;2;1;3;5;4;2;2
侠	1141	U+4FA0	8	3;2;1;4;3;1;3;4
臾	3955	U+81FE	8	3;2;1;5;1;1;3;4
侥	1142	U+4FA5	8	3;2;1;5;3;1;3;5
版	1143	U+7248	8	3;2;1;5;3;3;5;4
侄	1144	U+4F84	8	3;2;1;5;4;1;2;1
垈	6694	U+5788	8	3;2;1;5;4;1;2;1
岱	3956	U+5CB1	8	3;2;1;5;4;2;5;2
侦	1145	U+4FA6	8	3;2;2;1;2;5;3;4
侣	1146	U+4FA3	8	3;2;2;5;1;2;5;1
侗	3957	U+4F97	8	3;2;2;5;1;2;5;1
侃	3958	U+4F83	8	3;2;2;5;1;3;2;5
侧	1147	U+4FA7	8	3;2;2;5;3;4;2;2
侏	3959	U+4F8F	8	3;2;3;1;1;2;3;4
侁	6695	U+4F81	8	3;2;3;1;2;1;3;5
凭	1148	U+51ED	8	3;2;3;1;2;1;3;5
侹	6696	U+4FB9	8	3;2;3;1;2;1;5;4
佸	6697	U+4F78	8	3;2;3;1;2;2;5;1
侨	1149	U+4FA8	8	3;2;3;1;3;4;3;2
佺	6698	U+4F7A	8	3;2;3;4;1;1;2;1
侩	3960	U+4FA9	8	3;2;3;4;1;1;5;4
佻	3961	U+4F7B	8	3;2;3;4;1;5;3;4
佾	3962	U+4F7E	8	3;2;3;4;2;5;1;1
佩	1150	U+4F69	8	3;2;3;5;1;2;5;2
货	1151	U+8D27	8	3;2;3;5;2;5;3;4
侈	1152	U+4F88	8	3;2;3;5;4;3;5;4
隹	6699	U+96B9	8	3;2;4;1;1;1;2;1
㑊	6700	U+344A	8	3;2;4;1;3;2;3;4
侂	6701	U+4F82	8	3;2;4;1;3;3;1;5
侪	3963	U+4FAA	8	3;2;4;1;3;4;3;2
佼	3964	U+4F7C	8	3;2;4;1;3;4;3;4
依	1153	U+4F9D	8	3;2;4;1;3;5;3;4
佽	6702	U+4F7D	8	3;2;4;1;3;5;3;4
佯	3965	U+4F6F	8	3;2;4;3;1;1;1;2
侘	6703	U+4F98	8	3;2;4;4;5;3;1;5
侬	3966	U+4FAC	8	3;2;4;5;3;5;3;4
帛	3967	U+5E1B	8	3;2;5;1;1;2;5;2
卑	1154	U+5351	8	3;2;5;1;1;3;1;2
的	1155	U+7684	8	3;2;5;1;1;3;5;4
迫	1156	U+8FEB	8	3;2;5;1;1;4;5;4
阜	3968	U+961C	8	3;2;5;1;5;1;1;2
侔	3969	U+4F94	8	3;2;5;4;3;1;1;2
质	1157	U+8D28	8	3;3;1;2;2;5;3;4
欣	1158	U+6B23	8	3;3;1;2;3;5;3;4
郈	6704	U+90C8	8	3;3;1;2;5;1;5;2
征	1159	U+5F81	8	3;3;2;1;2;1;2;1
徂	3970	U+5F82	8	3;3;2;2;5;1;1;1
往	1160	U+5F80	8	3;3;2;4;1;1;2;1
爬	1161	U+722C	8	3;3;2;4;5;2;1;5
彼	1162	U+5F7C	8	3;3;2;5;3;2;5;4
径	1163	U+5F84	8	3;3;2;5;4;1;2;1
所	1164	U+6240	8	3;3;5;1;3;3;1;2
舠	6705	U+8220	8	3;3;5;4;1;4;5;3
舍	1165	U+820D	8	3;4;1;1;2;2;5;1
金	1166	U+91D1	8	3;4;1;1;2;4;3;1
刽	3971	U+523D	8	3;4;1;1;5;4;2;2
郐	6706	U+90D0	8	3;4;1;1;5;4;5;2
刹	1167	U+5239	8	3;4;1;2;3;4;2;2
郃	6707	U+90C3	8	3;4;1;2;5;1;5;2
命	1168	U+547D	8	3;4;1;2;5;1;5;2
肴	1169	U+80B4	8	3;4;1;3;2;5;1;1
郄	3972	U+90C4	8	3;4;1;3;5;4;5;2
斧	1170	U+65A7	8	3;4;3;4;3;3;1;2
怂	3973	U+6002	8	3;4;3;4;4;5;4;4
爸	1171	U+7238	8	3;4;3;4;5;2;1;5
采	1172	U+91C7	8	3;4;4;3;1;2;3;4
籴	3974	U+7C74	8	3;4;4;3;1;2;3;4
觅	1173	U+89C5	8	3;4;4;3;2;5;3;5
受	1174	U+53D7	8	3;4;4;3;4;5;5;4
乳	1175	U+4E73	8	3;4;4;3;5;2;1;5
贪	1176	U+8D2A	8	3;4;4;5;2;5;3;4
念	1177	U+5FF5	8	3;4;4;5;4;5;4;4
贫	1178	U+8D2B	8	3;4;5;3;2;5;3;4
攽	6708	U+653D	8	3;4;5;3;3;1;3;4
忿	1179	U+5FFF	8	3;4;5;3;4;5;4;4
瓮	3975	U+74EE	8	3;4;5;4;1;5;5;4
戗	3976	U+6217	8	3;4;5;5;1;5;3;4
肼	3977	U+80BC	8	3;5;1;1;1;1;3;2
肤	1180	U+80A4	8	3;5;1;1;1;1;3;4
䏝	3978	U+43DD	8	3;5;1;1;1;1;5;4
肺	1181	U+80BA	8	3;5;1;1;1;2;5;2
肢	1182	U+80A2	8	3;5;1;1;1;2;5;4
肽	3979	U+80BD	8	3;5;1;1;1;3;4;4
肱	3980	U+80B1	8	3;5;1;1;1;3;5;4
肫	3981	U+80AB	8	3;5;1;1;1;5;2;5
肿	1183	U+80BF	8	3;5;1;1;2;5;1;2
肭	6709	U+80AD	8	3;5;1;1;2;5;3;4
胀	1184	U+80C0	8	3;5;1;1;3;1;5;4
肸	6710	U+80B8	8	3;5;1;1;3;4;1;2
朋	1185	U+670B	8	3;5;1;1;3;5;1;1
肷	6711	U+80B7	8	3;5;1;1;3;5;3;4
股	1186	U+80A1	8	3;5;1;1;3;5;5;4
肮	1187	U+80AE	8	3;5;1;1;4;1;3;5
肪	1188	U+80AA	8	3;5;1;1;4;1;5;3
肥	1189	U+80A5	8	3;5;1;1;5;2;1;5
服	1190	U+670D	8	3;5;1;1;5;2;5;4
胁	1191	U+80C1	8	3;5;1;1;5;3;4;4
周	1192	U+5468	8	3;5;1;2;1;2;5;1
剁	3982	U+5241	8	3;5;1;2;3;4;2;2
昏	1193	U+660F	8	3;5;1;5;2;5;1;1
迩	3983	U+8FE9	8	3;5;2;3;4;4;5;4
郇	3984	U+90C7	8	3;5;2;5;1;1;5;2
鱼	1194	U+9C7C	8	3;5;2;5;1;2;1;1
兔	1195	U+5154	8	3;5;2;5;1;3;5;4
狉	6712	U+72C9	8	3;5;3;1;3;2;4;1
狙	3985	U+72D9	8	3;5;3;2;5;1;1;1
狎	3986	U+72CE	8	3;5;3;2;5;1;1;2
狐	1196	U+72D0	8	3;5;3;3;3;5;4;4
忽	1197	U+5FFD	8	3;5;3;3;4;5;4;4
狝	6713	U+72DD	8	3;5;3;3;5;2;3;4
狗	1198	U+72D7	8	3;5;3;3;5;2;5;1
狍	3987	U+72CD	8	3;5;3;3;5;5;1;5
狞	1199	U+72DE	8	3;5;3;4;4;5;1;2
狒	3988	U+72D2	8	3;5;3;5;1;5;3;2
咎	3989	U+548E	8	3;5;4;2;4;2;5;1
备	1200	U+5907	8	3;5;4;2;5;1;2;1
炙	3990	U+7099	8	3;5;4;4;4;3;3;4
枭	3991	U+67AD	8	3;5;4;5;1;2;3;4
饯	3992	U+996F	8	3;5;5;1;1;5;3;4
饰	1201	U+9970	8	3;5;5;3;1;2;5;2
饱	1202	U+9971	8	3;5;5;3;5;5;1;5
饲	1203	U+9972	8	3;5;5;5;1;2;5;1
饳	6714	U+9973	8	3;5;5;5;2;2;5;2
饴	3993	U+9974	8	3;5;5;5;4;2;5;1
冽	3994	U+51BD	8	4;1;1;3;5;4;2;2
变	1204	U+53D8	8	4;1;2;2;3;4;5;4
京	1205	U+4EAC	8	4;1;2;5;1;2;3;4
享	1206	U+4EAB	8	4;1;2;5;1;5;2;1
冼	3995	U+51BC	8	4;1;3;1;2;1;3;5
庞	1207	U+5E9E	8	4;1;3;1;3;5;3;4
店	1208	U+5E97	8	4;1;3;2;1;2;5;1
夜	1209	U+591C	8	4;1;3;2;3;5;4;4
庙	1210	U+5E99	8	4;1;3;2;5;1;2;1
府	1211	U+5E9C	8	4;1;3;3;2;1;2;4
底	1212	U+5E95	8	4;1;3;3;5;1;5;4
庖	3996	U+5E96	8	4;1;3;3;5;5;1;5
疟	1213	U+759F	8	4;1;3;4;1;1;5;1
疠	3997	U+75A0	8	4;1;3;4;1;1;5;3
疝	3998	U+759D	8	4;1;3;4;1;2;5;2
疙	1214	U+7599	8	4;1;3;4;1;3;1;5
疚	1215	U+759A	8	4;1;3;4;1;3;5;4
疡	3999	U+75A1	8	4;1;3;4;1;5;3;3
剂	1216	U+5242	8	4;1;3;4;3;2;2;2
卒	1217	U+5352	8	4;1;3;4;3;4;1;2
郊	1218	U+90CA	8	4;1;3;4;3;4;5;2
忞	6715	U+5FDE	8	4;1;3;4;4;5;4;4
兖	4000	U+5156	8	4;1;3;4;5;4;3;5
庚	1219	U+5E9A	8	4;1;3;5;1;1;3;4
废	1220	U+5E9F	8	4;1;3;5;3;5;4;4
净	1221	U+51C0	8	4;1;3;5;5;1;1;2
妾	4001	U+59BE	8	4;1;4;3;1;5;3;1
盲	1222	U+76F2	8	4;1;5;2;5;1;1;1
放	1223	U+653E	8	4;1;5;3;3;1;3;4
刻	1224	U+523B	8	4;1;5;3;3;4;2;2
於	6716	U+65BC	8	4;1;5;3;3;4;4;4
劾	4002	U+52BE	8	4;1;5;3;3;4;5;3
育	1225	U+80B2	8	4;1;5;4;2;5;1;1
氓	1226	U+6C13	8	4;1;5;5;1;5;1;5
闸	1227	U+95F8	8	4;2;5;2;5;1;1;2
闹	1228	U+95F9	8	4;2;5;4;1;2;5;2
郑	1229	U+90D1	8	4;3;1;1;3;4;5;2
券	1230	U+5238	8	4;3;1;1;3;4;5;3
卷	1231	U+5377	8	4;3;1;1;3;4;5;5
单	1232	U+5355	8	4;3;2;5;1;1;1;2
炜	4003	U+709C	8	4;3;3;4;1;1;5;2
𬉼	4004	U+2C27C	8	4;3;3;4;1;3;4;5
炬	1233	U+70AC	8	4;3;3;4;1;5;1;5
炖	4005	U+7096	8	4;3;3;4;1;5;2;5
炒	1234	U+7092	8	4;3;3;4;2;3;4;3
炘	4006	U+7098	8	4;3;3;4;3;3;1;2
炌	6717	U+708C	8	4;3;3;4;3;4;3;2
炝	4007	U+709D	8	4;3;3;4;3;4;5;5
炊	1235	U+708A	8	4;3;3;4;3;5;3;4
炆	6718	U+7086	8	4;3;3;4;4;1;3;4
炕	1236	U+7095	8	4;3;3;4;4;1;3;5
炎	1237	U+708E	8	4;3;3;4;4;3;3;4
炉	1238	U+7089	8	4;3;3;4;4;5;1;3
炔	4008	U+7094	8	4;3;3;4;5;1;3;4
沫	1239	U+6CAB	8	4;4;1;1;1;2;3;4
浅	1240	U+6D45	8	4;4;1;1;1;5;3;4
法	1241	U+6CD5	8	4;4;1;1;2;1;5;4
泔	4009	U+6CD4	8	4;4;1;1;2;2;1;1
泄	1242	U+6CC4	8	4;4;1;1;2;2;1;5
沽	1243	U+6CBD	8	4;4;1;1;2;2;5;1
沭	4010	U+6CAD	8	4;4;1;1;2;3;4;4
河	1244	U+6CB3	8	4;4;1;1;2;5;1;2
泷	4011	U+6CF7	8	4;4;1;1;3;5;3;4
泙	6719	U+6CD9	8	4;4;1;1;4;3;1;2
沾	1245	U+6CBE	8	4;4;1;2;1;2;5;1
泸	4012	U+6CF8	8	4;4;1;2;1;5;1;3
泪	1246	U+6CEA	8	4;4;1;2;5;1;1;1
沮	1247	U+6CAE	8	4;4;1;2;5;1;1;1
沺	6720	U+6CBA	8	4;4;1;2;5;1;2;1
油	1248	U+6CB9	8	4;4;1;2;5;1;2;1
泱	4013	U+6CF1	8	4;4;1;2;5;1;3;4
泂	6721	U+6CC2	8	4;4;1;2;5;2;5;1
泅	4014	U+6CC5	8	4;4;1;2;5;3;4;1
泗	4015	U+6CD7	8	4;4;1;2;5;3;5;1
泊	1249	U+6CCA	8	4;4;1;3;2;5;1;1
泠	4016	U+6CE0	8	4;4;1;3;4;4;5;4
泜	6722	U+6CDC	8	4;4;1;3;5;1;5;4
泺	4017	U+6CFA	8	4;4;1;3;5;2;3;4
沿	1250	U+6CBF	8	4;4;1;3;5;2;5;1
泃	6723	U+6CC3	8	4;4;1;3;5;2;5;1
泖	4018	U+6CD6	8	4;4;1;3;5;3;5;2
泡	1251	U+6CE1	8	4;4;1;3;5;5;1;5
注	1252	U+6CE8	8	4;4;1;4;1;1;2;1
泣	1253	U+6CE3	8	4;4;1;4;1;4;3;1
泫	4019	U+6CEB	8	4;4;1;4;1;5;5;4
泮	4020	U+6CEE	8	4;4;1;4;3;1;1;2
泞	1254	U+6CDE	8	4;4;1;4;4;5;1;2
沱	4021	U+6CB1	8	4;4;1;4;4;5;3;5
泻	1255	U+6CFB	8	4;4;1;4;5;1;5;1
泌	1256	U+6CCC	8	4;4;1;4;5;4;3;4
泳	1257	U+6CF3	8	4;4;1;4;5;5;3;4
泥	1258	U+6CE5	8	4;4;1;5;1;3;3;5
泯	4022	U+6CEF	8	4;4;1;5;1;5;1;5
沸	1259	U+6CB8	8	4;4;1;5;1;5;3;2
泓	4023	U+6CD3	8	4;4;1;5;1;5;5;4
沼	1260	U+6CBC	8	4;4;1;5;3;2;5;1
泇	6724	U+6CC7	8	4;4;1;5;3;2;5;1
